age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,remediation_timestamp
45.0,Self-Emp-Inc,188330.0,Bachelors,13.0,Married-Civ-Spouse,Exec-Managerial,Husband,White,Male,0,0.0,60,United-States,<=50K,2025-03-31T22:02:17.000Z
40.0,Private,198096.0,Hs-Grad,9.0,Married-Civ-Spouse,Machine-Op-Inspct,Husband,White,Male,0,0.0,40,United-States,>50K,2025-03-31T22:02:17.000Z
29.0,Private,163265.0,Hs-Grad,9.0,Married-Civ-Spouse,Transport-Moving,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
35.0,Federal-Gov,128608.0,Bachelors,13.0,Never-Married,Exec-Managerial,Own-Child,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
47.0,Private,107460.0,Hs-Grad,9.0,Separated,Exec-Managerial,Unmarried,White,Female,0,0.0,37,United-States,<=50K,2025-03-31T22:02:17.000Z
51.0,Private,251841.0,Assoc-Voc,11.0,Never-Married,Exec-Managerial,Not-In-Family,White,Female,0,0.0,43,United-States,<=50K,2025-03-31T22:02:17.000Z
28.0,Private,403671.0,Hs-Grad,9.0,Never-Married,Other-Service,Other-Relative,White,Male,0,0.0,40,Mexico,<=50K,2025-03-31T22:02:17.000Z
58.0,Private,159378.0,Hs-Grad,9.0,Married-Civ-Spouse,Machine-Op-Inspct,Husband,White,Male,0,0.0,45,United-States,>50K,2025-03-31T22:02:17.000Z
24.0,Private,170070.0,Hs-Grad,9.0,Never-Married,Machine-Op-Inspct,Own-Child,White,Female,0,0.0,25,United-States,<=50K,2025-03-31T22:02:17.000Z
46.0,State-Gov,192323.0,Hs-Grad,9.0,Divorced,Exec-Managerial,Not-In-Family,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
57.0,Private,135796.0,10th,6.0,Married-Civ-Spouse,Machine-Op-Inspct,Husband,Black,Male,0,0.0,48,United-States,<=50K,2025-03-31T22:02:17.000Z
22.0,Private,232985.0,Hs-Grad,9.0,Never-Married,Handlers-Cleaners,Other-Relative,White,Male,0,0.0,20,United-States,<=50K,2025-03-31T22:02:17.000Z
28.0,Private,34532.0,Bachelors,13.0,Never-Married,Tech-Support,Not-In-Family,Black,Male,0,0.0,30,Jamaica,<=50K,2025-03-31T22:02:17.000Z
17.0,Unknown,371316.0,10th,6.0,Never-Married,Unknown,Own-Child,White,Male,0,0.0,25,United-States,<=50K,2025-03-31T22:02:17.000Z
23.0,Private,236994.0,Hs-Grad,9.0,Never-Married,Sales,Own-Child,White,Male,0,0.0,60,United-States,<=50K,2025-03-31T22:02:17.000Z
19.0,Private,208366.0,Hs-Grad,9.0,Never-Married,Handlers-Cleaners,Not-In-Family,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
66.0,State-Gov,102640.0,Hs-Grad,9.0,Widowed,Prof-Specialty,Unmarried,Black,Female,0,0.0,35,United-States,<=50K,2025-03-31T22:02:17.000Z
38.0,Private,111377.0,Some-College,10.0,Married-Civ-Spouse,Exec-Managerial,Husband,White,Male,0,0.0,55,United-States,<=50K,2025-03-31T22:02:17.000Z
39.0,Federal-Gov,472166.0,Some-College,10.0,Divorced,Exec-Managerial,Unmarried,Black,Female,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
39.0,Unknown,86551.0,12th,8.0,Married-Civ-Spouse,Unknown,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
39.0,Private,294919.0,Hs-Grad,9.0,Divorced,Transport-Moving,Own-Child,White,Male,0,0.0,60,United-States,<=50K,2025-03-31T22:02:17.000Z
22.0,Private,408383.0,Some-College,10.0,Never-Married,Transport-Moving,Own-Child,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
36.0,Private,255454.0,Hs-Grad,9.0,Never-Married,Craft-Repair,Own-Child,Black,Male,0,0.0,30,United-States,<=50K,2025-03-31T22:02:17.000Z
32.0,Private,193260.0,Some-College,10.0,Married-Civ-Spouse,Machine-Op-Inspct,Husband,Asian-Pac-Islander,Male,0,0.0,40,Philippines,<=50K,2025-03-31T22:02:17.000Z
29.0,Unknown,191935.0,Hs-Grad,9.0,Never-Married,Unknown,Not-In-Family,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
43.0,Local-Gov,125461.0,Bachelors,13.0,Never-Married,Prof-Specialty,Not-In-Family,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
51.0,Private,97005.0,Hs-Grad,9.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
42.0,Private,183319.0,5th-6th,3.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,60,United-States,<=50K,2025-03-31T22:02:17.000Z
32.0,State-Gov,167049.0,12th,8.0,Never-Married,Adm-Clerical,Unmarried,White,Female,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
34.0,Private,185216.0,Some-College,10.0,Never-Married,Adm-Clerical,Own-Child,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
51.0,Private,161838.0,Assoc-Voc,11.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,57,United-States,<=50K,2025-03-31T22:02:17.000Z
38.0,Private,165848.0,Bachelors,13.0,Married-Civ-Spouse,Sales,Husband,White,Male,0,0.0,44,United-States,<=50K,2025-03-31T22:02:17.000Z
21.0,Private,138816.0,Hs-Grad,9.0,Never-Married,Handlers-Cleaners,Own-Child,Black,Male,0,0.0,20,United-States,<=50K,2025-03-31T22:02:17.000Z
33.0,Self-Emp-Not-Inc,99761.0,Bachelors,13.0,Never-Married,Other-Service,Not-In-Family,White,Female,0,0.0,15,United-States,<=50K,2025-03-31T22:02:17.000Z
34.0,Private,112139.0,Hs-Grad,9.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
32.0,Private,129020.0,Hs-Grad,9.0,Married-Civ-Spouse,Exec-Managerial,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
38.0,Unknown,365465.0,Assoc-Voc,11.0,Never-Married,Unknown,Own-Child,White,Male,0,0.0,15,United-States,<=50K,2025-03-31T22:02:17.000Z
27.0,Self-Emp-Not-Inc,259873.0,Hs-Grad,9.0,Married-Civ-Spouse,Other-Service,Husband,Black,Male,0,0.0,60,United-States,>50K,2025-03-31T22:02:17.000Z
35.0,Self-Emp-Inc,89622.0,Some-College,10.0,Married-Civ-Spouse,Sales,Husband,White,Male,0,0.0,50,United-States,>50K,2025-03-31T22:02:17.000Z
29.0,State-Gov,201556.0,Bachelors,13.0,Never-Married,Prof-Specialty,Not-In-Family,White,Male,0,0.0,50,United-States,<=50K,2025-03-31T22:02:17.000Z
40.0,Private,176286.0,Hs-Grad,9.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
46.0,Private,192894.0,7th-8th,4.0,Married-Civ-Spouse,Farming-Fishing,Husband,Black,Male,0,0.0,30,United-States,<=50K,2025-03-31T22:02:17.000Z
37.0,Private,172232.0,Hs-Grad,9.0,Never-Married,Other-Service,Unmarried,Black,Female,0,0.0,30,United-States,<=50K,2025-03-31T22:02:17.000Z
44.0,Private,215304.0,Bachelors,13.0,Married-Civ-Spouse,Prof-Specialty,Husband,White,Male,0,0.0,45,United-States,>50K,2025-03-31T22:02:17.000Z
25.0,Private,185952.0,Masters,14.0,Never-Married,Prof-Specialty,Not-In-Family,White,Male,0,0.0,30,United-States,<=50K,2025-03-31T22:02:17.000Z
38.0,Private,216845.0,Hs-Grad,9.0,Never-Married,Sales,Unmarried,White,Male,0,0.0,42,United-States,<=50K,2025-03-31T22:02:17.000Z
34.0,Local-Gov,35683.0,Assoc-Acdm,12.0,Divorced,Adm-Clerical,Unmarried,White,Female,0,0.0,10,United-States,<=50K,2025-03-31T22:02:17.000Z
46.0,Private,102359.0,Some-College,10.0,Married-Civ-Spouse,Exec-Managerial,Husband,White,Male,0,0.0,50,United-States,>50K,2025-03-31T22:02:17.000Z
20.0,Private,200089.0,5th-6th,3.0,Never-Married,Handlers-Cleaners,Unmarried,White,Male,0,0.0,30,Guatemala,<=50K,2025-03-31T22:02:17.000Z
47.0,State-Gov,207120.0,Assoc-Voc,11.0,Married-Civ-Spouse,Exec-Managerial,Husband,White,Male,0,0.0,38,United-States,>50K,2025-03-31T22:02:17.000Z
46.0,Private,295334.0,Doctorate,16.0,Married-Civ-Spouse,Prof-Specialty,Husband,White,Male,0,0.0,60,United-States,>50K,2025-03-31T22:02:17.000Z
34.0,Private,234537.0,Assoc-Acdm,12.0,Divorced,Sales,Not-In-Family,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
61.0,Private,142922.0,Hs-Grad,9.0,Married-Civ-Spouse,Transport-Moving,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
55.0,State-Gov,181641.0,Some-College,10.0,Divorced,Prof-Specialty,Not-In-Family,Black,Female,0,0.0,37,United-States,<=50K,2025-03-31T22:02:17.000Z
36.0,Private,185325.0,Hs-Grad,9.0,Never-Married,Transport-Moving,Not-In-Family,White,Male,0,0.0,35,United-States,<=50K,2025-03-31T22:02:17.000Z
22.0,Private,379778.0,Hs-Grad,9.0,Never-Married,Other-Service,Not-In-Family,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
34.0,Private,176117.0,Some-College,10.0,Never-Married,Sales,Own-Child,Black,Female,0,0.0,35,United-States,<=50K,2025-03-31T22:02:17.000Z
33.0,Private,100228.0,Some-College,10.0,Never-Married,Machine-Op-Inspct,Not-In-Family,Black,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
27.0,Private,150296.0,Hs-Grad,9.0,Never-Married,Other-Service,Own-Child,White,Female,0,0.0,32,United-States,<=50K,2025-03-31T22:02:17.000Z
20.0,Private,653574.0,Some-College,10.0,Never-Married,Other-Service,Own-Child,White,Male,0,0.0,33,El-Salvador,<=50K,2025-03-31T22:02:17.000Z
38.0,Private,175441.0,Hs-Grad,9.0,Never-Married,Handlers-Cleaners,Not-In-Family,Black,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
30.0,Private,333119.0,Some-College,10.0,Never-Married,Craft-Repair,Not-In-Family,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
21.0,Private,89154.0,11th,7.0,Never-Married,Other-Service,Own-Child,White,Male,0,0.0,42,El-Salvador,<=50K,2025-03-31T22:02:17.000Z
60.0,Private,198727.0,Hs-Grad,9.0,Married-Civ-Spouse,Prof-Specialty,Husband,White,Male,0,0.0,30,United-States,<=50K,2025-03-31T22:02:17.000Z
43.0,Private,87284.0,Some-College,10.0,Never-Married,Handlers-Cleaners,Not-In-Family,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
36.0,Private,180686.0,Hs-Grad,9.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,45,United-States,>50K,2025-03-31T22:02:17.000Z
23.0,Private,227070.0,Some-College,10.0,Never-Married,Other-Service,Unmarried,White,Female,0,0.0,48,El-Salvador,<=50K,2025-03-31T22:02:17.000Z
25.0,Local-Gov,348986.0,Hs-Grad,9.0,Never-Married,Handlers-Cleaners,Other-Relative,Black,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
38.0,Private,96185.0,Hs-Grad,9.0,Divorced,Other-Service,Unmarried,Black,Female,0,0.0,32,United-States,<=50K,2025-03-31T22:02:17.000Z
22.0,Private,112693.0,Hs-Grad,9.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,35,United-States,<=50K,2025-03-31T22:02:17.000Z
23.0,Private,417605.0,5th-6th,3.0,Never-Married,Craft-Repair,Not-In-Family,White,Male,0,0.0,40,Mexico,<=50K,2025-03-31T22:02:17.000Z
61.0,Self-Emp-Not-Inc,140300.0,Hs-Grad,9.0,Never-Married,Sales,Not-In-Family,White,Female,0,0.0,44,United-States,<=50K,2025-03-31T22:02:17.000Z
28.0,Private,340408.0,Some-College,10.0,Divorced,Craft-Repair,Not-In-Family,White,Male,0,0.0,46,United-States,<=50K,2025-03-31T22:02:17.000Z
17.0,Unknown,187539.0,11th,7.0,Never-Married,Unknown,Own-Child,White,Female,0,0.0,10,United-States,<=50K,2025-03-31T22:02:17.000Z
21.0,Private,237051.0,Some-College,10.0,Never-Married,Other-Service,Own-Child,White,Female,0,0.0,25,United-States,<=50K,2025-03-31T22:02:17.000Z
49.0,Private,175622.0,Masters,14.0,Married-Civ-Spouse,Prof-Specialty,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
37.0,Private,389725.0,12th,8.0,Divorced,Craft-Repair,Own-Child,White,Male,0,0.0,35,United-States,<=50K,2025-03-31T22:02:17.000Z
23.0,Private,182812.0,Some-College,10.0,Never-Married,Other-Service,Own-Child,White,Female,0,0.0,40,Dominican-Republic,<=50K,2025-03-31T22:02:17.000Z
34.0,Local-Gov,93886.0,Bachelors,13.0,Married-Civ-Spouse,Prof-Specialty,Wife,White,Female,0,0.0,46,United-States,>50K,2025-03-31T22:02:17.000Z
21.0,Private,502837.0,Hs-Grad,9.0,Never-Married,Machine-Op-Inspct,Own-Child,White,Female,0,0.0,40,Peru,<=50K,2025-03-31T22:02:17.000Z
27.0,State-Gov,212232.0,Some-College,10.0,Married-Civ-Spouse,Exec-Managerial,Husband,Black,Male,0,0.0,40,United-States,>50K,2025-03-31T22:02:17.000Z
57.0,Private,300104.0,Hs-Grad,9.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,84,United-States,>50K,2025-03-31T22:02:17.000Z
22.0,Private,156933.0,Hs-Grad,9.0,Never-Married,Handlers-Cleaners,Own-Child,Black,Male,0,0.0,25,United-States,<=50K,2025-03-31T22:02:17.000Z
20.0,Private,286734.0,Some-College,10.0,Never-Married,Adm-Clerical,Not-In-Family,Other,Female,0,0.0,35,United-States,<=50K,2025-03-31T22:02:17.000Z
49.0,Self-Emp-Inc,143482.0,Some-College,10.0,Married-Civ-Spouse,Prof-Specialty,Wife,White,Female,0,0.0,65,United-States,>50K,2025-03-31T22:02:17.000Z
38.0,Private,226357.0,Hs-Grad,9.0,Married-Civ-Spouse,Craft-Repair,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
40.0,Private,104892.0,Bachelors,13.0,Married-Civ-Spouse,Tech-Support,Husband,White,Male,0,0.0,40,United-States,<=50K,2025-03-31T22:02:17.000Z
37.0,Self-Emp-Not-Inc,272090.0,Some-College,10.0,Married-Civ-Spouse,Adm-Clerical,Wife,White,Female,0,0.0,20,United-States,<=50K,2025-03-31T22:02:17.000Z
57.0,Private,204816.0,Masters,14.0,Divorced,Prof-Specialty,Not-In-Family,White,Male,0,0.0,30,United-States,<=50K,2025-03-31T22:02:17.000Z
